Emittance (um),Beam Radius (um),Beam Radius Fraction
28.4028,10.8458,0.5
28.4028,21.6916,1.0
28.4028,43.3832,2.0
28.4028,65.0748,3.0
28.4028,86.7664,4.0
28.4028,108.458,5.0
29.1905,10.9952,0.5
29.1905,21.9903,1.0
29.1905,43.9806,2.0
29.1905,65.971,3.0
29.1905,87.9613,4.0
29.1905,109.9516,5.0
30.0,11.1466,0.5
30.0,22.2931,1.0
30.0,44.5863,2.0
30.0,66.8794,3.0
30.0,89.1726,4.0
30.0,111.4657,5.0
