Emittance (um),Beam Radius (um),Beam Radius Fraction
10.5614,13.2273,1.0
10.5614,26.4546,2.0
10.5614,39.6819,3.0
10.5614,52.9092,4.0
10.5614,66.1366,5.0
10.6316,6.6356,0.5
10.6316,13.2712,1.0
10.6316,26.5424,2.0
10.6316,39.8135,3.0
10.6316,53.0847,4.0
10.6316,66.3559,5.0
10.7018,6.6575,0.5
10.7018,13.3149,1.0
10.7018,26.6298,2.0
10.7018,39.9447,3.0
10.7018,53.2596,4.0
10.7018,66.5745,5.0
10.7719,6.6792,0.5
10.7719,13.3585,1.0
10.7719,26.717,2.0
10.7719,40.0755,3.0
10.7719,53.434,4.0
10.7719,66.7925,5.0
10.8421,6.701,0.5
10.8421,13.4019,1.0
10.8421,26.8039,2.0
10.8421,40.2058,3.0
10.8421,53.6077,4.0
10.8421,67.0097,5.0
10.9123,6.7226,0.5
10.9123,13.4452,1.0
10.9123,26.8905,2.0
10.9123,40.3357,3.0
10.9123,53.781,4.0
10.9123,67.2262,5.0
10.9825,6.7442,0.5
10.9825,13.4884,1.0
10.9825,26.9768,2.0
10.9825,40.4652,3.0
10.9825,53.9536,4.0
10.9825,67.442,5.0
11.0526,6.7657,0.5
11.0526,13.5314,1.0
11.0526,27.0629,2.0
11.0526,40.5943,3.0
11.0526,54.1257,4.0
11.0526,67.6571,5.0
11.1228,6.7872,0.5
11.1228,13.5743,1.0
11.1228,27.1486,2.0
11.1228,40.7229,3.0
11.1228,54.2973,4.0
11.1228,67.8716,5.0
11.193,6.8085,0.5
11.193,13.6171,1.0
11.193,27.2341,2.0
11.193,40.8512,3.0
11.193,54.4683,4.0
11.193,68.0853,5.0
11.2632,6.8298,0.5
11.2632,13.6597,1.0
11.2632,27.3194,2.0
11.2632,40.9791,3.0
11.2632,54.6388,4.0
11.2632,68.2984,5.0
11.3333,6.8511,0.5
11.3333,13.7022,1.0
11.3333,27.4044,2.0
11.3333,41.1065,3.0
11.3333,54.8087,4.0
11.3333,68.5109,5.0
11.4035,6.8723,0.5
11.4035,13.7445,1.0
11.4035,27.4891,2.0
11.4035,41.2336,3.0
11.4035,54.9781,4.0
11.4035,68.7227,5.0
11.4737,6.8934,0.5
11.4737,13.7868,1.0
11.4737,27.5735,2.0
11.4737,41.3603,3.0
11.4737,55.147,4.0
11.4737,68.9338,5.0
11.5439,6.9144,0.5
11.5439,13.8289,1.0
11.5439,27.6577,2.0
11.5439,41.4866,3.0
11.5439,55.3154,4.0
11.5439,69.1443,5.0
11.614,6.9354,0.5
11.614,13.8708,1.0
11.614,27.7417,2.0
11.614,41.6125,3.0
11.614,55.4833,4.0
11.614,69.3541,5.0
11.6842,6.9563,0.5
11.6842,13.9127,1.0
11.6842,27.8253,2.0
11.6842,41.738,3.0
11.6842,55.6507,4.0
11.6842,69.5633,5.0
11.7544,6.9772,0.5
11.7544,13.9544,1.0
11.7544,27.9088,2.0
11.7544,41.8632,3.0
11.7544,55.8175,4.0
11.7544,69.7719,5.0
11.8246,6.998,0.5
11.8246,13.996,1.0
11.8246,27.992,2.0
11.8246,41.9879,3.0
11.8246,55.9839,4.0
11.8246,69.9799,5.0
11.8947,7.0187,0.5
11.8947,14.0374,1.0
11.8947,28.0749,2.0
11.8947,42.1123,3.0
11.8947,56.1498,4.0
11.8947,70.1872,5.0
11.9649,7.0394,0.5
11.9649,14.0788,1.0
11.9649,28.1576,2.0
11.9649,42.2364,3.0
11.9649,56.3152,4.0
11.9649,70.394,5.0
12.0351,7.06,0.5
12.0351,14.12,1.0
12.0351,28.24,2.0
12.0351,42.3601,3.0
12.0351,56.4801,4.0
12.0351,70.6001,5.0
12.1053,7.0806,0.5
12.1053,14.1611,1.0
12.1053,28.3223,2.0
12.1053,42.4834,3.0
12.1053,56.6445,4.0
12.1053,70.8056,5.0
12.1754,7.1011,0.5
12.1754,14.2021,1.0
12.1754,28.4042,2.0
12.1754,42.6063,3.0
12.1754,56.8085,4.0
12.1754,71.0106,5.0
12.2456,7.1215,0.5
12.2456,14.243,1.0
12.2456,28.486,2.0
12.2456,42.729,3.0
12.2456,56.9719,4.0
12.2456,71.2149,5.0
12.3158,7.1419,0.5
12.3158,14.2837,1.0
12.3158,28.5675,2.0
12.3158,42.8512,3.0
12.3158,57.135,4.0
12.3158,71.4187,5.0
12.386,7.1622,0.5
12.386,14.3244,1.0
12.386,28.6487,2.0
12.386,42.9731,3.0
12.386,57.2975,4.0
12.386,71.6219,5.0
12.4561,7.1824,0.5
12.4561,14.3649,1.0
12.4561,28.7298,2.0
12.4561,43.0947,3.0
12.4561,57.4596,4.0
12.4561,71.8245,5.0
12.5263,7.2027,0.5
12.5263,14.4053,1.0
12.5263,28.8106,2.0
12.5263,43.2159,3.0
12.5263,57.6212,4.0
12.5263,72.0265,5.0
12.5965,7.2228,0.5
12.5965,14.4456,1.0
12.5965,28.8912,2.0
12.5965,43.3368,3.0
12.5965,57.7824,4.0
12.5965,72.228,5.0
12.6667,7.2429,0.5
12.6667,14.4858,1.0
12.6667,28.9716,2.0
12.6667,43.4573,3.0
12.6667,57.9431,4.0
12.6667,72.4289,5.0
12.7368,7.2629,0.5
12.7368,14.5259,1.0
12.7368,29.0517,2.0
12.7368,43.5776,3.0
12.7368,58.1034,4.0
12.7368,72.6293,5.0
12.807,7.2829,0.5
12.807,14.5658,1.0
12.807,29.1316,2.0
12.807,43.6974,3.0
12.807,58.2633,4.0
12.807,72.8291,5.0
12.8772,7.3028,0.5
12.8772,14.6057,1.0
12.8772,29.2113,2.0
12.8772,43.817,3.0
12.8772,58.4227,4.0
12.8772,73.0283,5.0
12.9474,7.3227,0.5
12.9474,14.6454,1.0
12.9474,29.2908,2.0
12.9474,43.9362,3.0
12.9474,58.5816,4.0
12.9474,73.227,5.0
13.0175,7.3425,0.5
13.0175,14.685,1.0
13.0175,29.3701,2.0
13.0175,44.0551,3.0
13.0175,58.7402,4.0
13.0175,73.4252,5.0
13.0877,7.3623,0.5
13.0877,14.7246,1.0
13.0877,29.4491,2.0
13.0877,44.1737,3.0
13.0877,58.8983,4.0
13.0877,73.6229,5.0
13.1579,7.382,0.5
13.1579,14.764,1.0
13.1579,29.528,2.0
13.1579,44.292,3.0
13.1579,59.056,4.0
13.1579,73.82,5.0
13.2281,7.4017,0.5
13.2281,14.8033,1.0
13.2281,29.6066,2.0
13.2281,44.4099,3.0
13.2281,59.2133,4.0
13.2281,74.0166,5.0
13.2982,7.4213,0.5
13.2982,14.8425,1.0
13.2982,29.6851,2.0
13.2982,44.5276,3.0
13.2982,59.3701,4.0
13.2982,74.2126,5.0
13.3684,7.4408,0.5
13.3684,14.8816,1.0
13.3684,29.7633,2.0
13.3684,44.6449,3.0
13.3684,59.5266,4.0
13.3684,74.4082,5.0
13.4386,7.4603,0.5
13.4386,14.9206,1.0
13.4386,29.8413,2.0
13.4386,44.7619,3.0
13.4386,59.6826,4.0
13.4386,74.6032,5.0
13.5088,7.4798,0.5
13.5088,14.9596,1.0
13.5088,29.9191,2.0
13.5088,44.8787,3.0
13.5088,59.8382,4.0
13.5088,74.7978,5.0
13.5789,7.4992,0.5
13.5789,14.9984,1.0
13.5789,29.9967,2.0
13.5789,44.9951,3.0
13.5789,59.9934,4.0
13.5789,74.9918,5.0
13.6491,7.5185,0.5
13.6491,15.0371,1.0
13.6491,30.0741,2.0
13.6491,45.1112,3.0
13.6491,60.1483,4.0
13.6491,75.1853,5.0
13.7193,7.5378,0.5
13.7193,15.0757,1.0
13.7193,30.1513,2.0
