Emittance (um),Beam Radius (um),Beam Radius Fraction
29.6356,22.1574,1
29.6637,22.1678,1
29.6917,22.1783,1
29.7197,22.1888,1
29.7477,22.1992,1
29.7758,22.2097,1
29.8038,22.2201,1
29.8318,22.2306,1
29.8599,22.241,1
29.8879,22.2515,1
29.9159,22.2619,1
29.9439,22.2723,1
29.972,22.2827,1
30.0,22.2931,1
